score,total_user
651,0.4950120777
652,0.4957788317
653,0.4965804381
654,0.4973780231
655,0.4981555009
656,0.4989611288
657,0.4997466495
658,0.5004906153
659,0.5012814979
660,0.5021233187
661,0.5029812253
662,0.503794896
663,0.5045683524
664,0.5053458302
665,0.5061219675
666,0.5069584264
667,0.5077238399
668,0.5084999772
669,0.509308286
670,0.5100562733
671,0.5108002391
672,0.5115589502
673,0.5122975542
674,0.5130562653
675,0.513836424
676,0.5145817303
677,0.5153819963
678,0.5161353455
679,0.5169423138
680,0.5177653679
681,0.5185790387
682,0.5194047737
683,0.5202010182
684,0.520981177
685,0.5217519524
686,0.5225240683
687,0.5233002056
688,0.5240910882
689,0.5249007375
690,0.5256902797
691,0.5263806263
692,0.5271071659
693,0.527835046
694,0.528604481
695,0.5293605111
696,0.5301058174
697,0.5308095689
698,0.5315535347
699,0.5322599671
700,0.5330481688
701,0.5338403918
702,0.5346245721
703,0.5353645164
704,0.5360843537
705,0.5368363624
706,0.537591052
707,0.5383645084
708,0.5391004314
709,0.5398430567
710,0.5405950654
711,0.5412733478
712,0.5419275015
713,0.5426580626
714,0.543367176
715,0.5440963965
716,0.5447639551
717,0.5454811113
718,0.5462304391
719,0.5469167643
720,0.5476821778
721,0.548368503
722,0.5490588497
723,0.5498497323
724,0.5506178268
725,0.5513698355
726,0.5520883322
727,0.5528242552
728,0.5535199638
729,0.5542009271
730,0.554906019
731,0.55560843
732,0.5563148624
733,0.5569877829
734,0.5577196844
735,0.5584247763
736,0.5590829515
737,0.5597585529
738,0.5604623044
739,0.5611566725
740,0.5618671264
741,0.5624917896
742,0.563198222
743,0.5639059949
744,0.564597682
745,0.5653242217
746,0.5660239517
747,0.566702234
748,0.5674234117
749,0.5680856083
750,0.5688054456
751,0.5694770255
752,0.5701325198
753,0.5708027592
754,0.5714528915
755,0.5721204501
756,0.5727880086
757,0.5734394814
758,0.5741217852
759,0.5748308986
760,0.575537331
761,0.5761633347
762,0.5767719121
763,0.5774314278
764,0.5780748577
765,0.5787732473
766,0.5794032724
767,0.5801418763
768,0.5808496492
769,0.5815118458
770,0.5821968306
771,0.5828590272
772,0.5834877118
773,0.5841070131
774,0.584719612
775,0.5853978944
776,0.585995748
777,0.5866566041
778,0.5872866293
779,0.5879608902
780,0.5885801915
781,0.5892155785
782,0.5898228155
783,0.5904796502
784,0.5911150372
785,0.5917464028
786,0.5923549803
787,0.5929890268
788,0.5936244139
789,0.5942919724
790,0.5949581905
791,0.5955788322
792,0.5961887502
793,0.5968187753
794,0.5974340551
795,0.5980399516
796,0.5986257409
797,0.5992008064
798,0.5998536197
799,0.6004461114
800,0.6010627317
801,0.6017048212
802,0.602322782
803,0.6028831022
804,0.6034903392
805,0.604105619
806,0.6047343037
807,0.6053334978
808,0.6059139252
809,0.6065104383
810,0.6071552087
811,0.6077785314
812,0.6083964922
813,0.6090010483
814,0.6095586875
815,0.6101444768
816,0.6107530543
817,0.6113267793
818,0.6119313353
819,0.6125412532
820,0.613100233
821,0.6136913842
822,0.6142825354
823,0.6149407106
824,0.6155693953
825,0.6161712703
826,0.6167744859
827,0.6173562537
828,0.617975555
829,0.6185385562
830,0.6191002169
831,0.6196819848
832,0.6202503479
833,0.6208347967
834,0.6213843931
835,0.6219112013
836,0.6224648191
837,0.6230532894
838,0.6236069072
839,0.6241792917
840,0.6247530167
841,0.6253280822
842,0.6258790191
843,0.6264178916
844,0.6270090429
845,0.6275693631
846,0.6281283428
847,0.6286752582
848,0.6292449618
849,0.6298401345
850,0.6303682832
851,0.6309044748
852,0.6314661355
853,0.6319929437
854,0.6325546044
855,0.6331109032
856,0.6336524567
857,0.6342221603
858,0.6347302018
859,0.6353039268
860,0.635897759
861,0.6364393125
862,0.6370344852
863,0.6376229554
864,0.638159147
865,0.638704722
866,0.6392234873
867,0.6397610194
868,0.6402717419
869,0.6407891668
870,0.6413414441
871,0.6418548476
872,0.6424071249
873,0.6429701261
874,0.6434526985
875,0.6440425093
876,0.644598808
877,0.6451296377
878,0.6456363388
879,0.6461644875
880,0.6466979981
881,0.6472408921
882,0.6477650194
883,0.6482958491
884,0.6487931668
885,0.6492837821
886,0.649829357
887,0.6503655486
888,0.6508923569
889,0.651396377
890,0.6518883327
891,0.652415141
892,0.6529231825
893,0.6534553527
894,0.653943287
895,0.6545022667
896,0.6549714344
897,0.6554674116
898,0.6559915389
899,0.65649824
900,0.6570277291
901,0.6575612398
902,0.6580719623
903,0.6585786633
904,0.659106812
905,0.6595665963
906,0.6600545307
907,0.6605129745
908,0.6610156541
909,0.6615250361
910,0.6620223538
911,0.6625357573
912,0.6630102868
913,0.6634955402
914,0.6639727507
915,0.6644794518
916,0.6649620242
917,0.6654338728
918,0.6658949976
919,0.6663655057
920,0.6668735473
921,0.6673467363
922,0.6678051801
923,0.6682770287
924,0.668773006
925,0.6692368117
926,0.6697059793
927,0.6701764875
928,0.6706563789
929,0.6711242061
930,0.6715652237
931,0.6720571795
932,0.6725250066
933,0.6729673647
934,0.6734405538
935,0.6739258072
936,0.6744244653
937,0.6749164211
938,0.6753909507
939,0.6759070351
940,0.6764097147
941,0.6768762014
942,0.6773306238
943,0.6777770033
944,0.6782314257
945,0.6786670813
946,0.679130887
947,0.6795665427
948,0.6800102413
949,0.6804512588
950,0.6809083622
951,0.6813828917
952,0.6818091641
953,0.6822327554
954,0.6826885183
955,0.6831335573
956,0.6835960225
957,0.6840437425
958,0.6845303364
959,0.684965992
960,0.6854230954
961,0.6858373034
962,0.6862622352
963,0.6866643789
964,0.6870852893
965,0.6875397117
966,0.687963303
967,0.6883882349
968,0.6888386358
969,0.6893238892
970,0.6897742901
971,0.6902112863
972,0.6906388991
973,0.6911000239
974,0.6915128914
975,0.6919833995
976,0.6923788408
977,0.6928386251
978,0.6932380878
979,0.6936884888
980,0.6941496135
981,0.6946053764
982,0.6950008177
983,0.6953748113
984,0.6958426385
985,0.6963091252
986,0.6967179713
987,0.6970919649
988,0.6974538942
989,0.6978801665
990,0.6982890126
991,0.6986965182
992,0.699062469
993,0.6994592508
